NBR,NOPOSTAL,LOCALITE,CODEMARQUE,LIBELLEMARQUE
1,1205,Genève,5104,AC
1,1206,Genève,5104,AC
1,1212,Grand-Lancy,5087,AC-COBRA
1,1208,Genève,7140,ACURA INTEGRA
1,1227,Carouge GE,7140,ACURA INTEGRA
1,1213,Petit-Lancy,4001,ADLER
1,1213,Petit-Lancy,2500,AERO
76,1201,Genève,3003,ALFA ROMEO
107,1202,Genève,3003,ALFA ROMEO
118,1203,Genève,3003,ALFA ROMEO
26,1204,Genève,3003,ALFA ROMEO
100,1205,Genève,3003,ALFA ROMEO
74,1206,Genève,3003,ALFA ROMEO
79,1207,Genève,3003,ALFA ROMEO
59,1208,Genève,3003,ALFA ROMEO
39,1209,Genève,3003,ALFA ROMEO
3,1211,Genève 8,3003,ALFA ROMEO
68,1212,Grand-Lancy,3003,ALFA ROMEO
78,1213,Onex,3003,ALFA ROMEO
75,1213,Petit-Lancy,3003,ALFA ROMEO
47,1214,Vernier,3003,ALFA ROMEO
1,1215,GENEVE 15,3003,ALFA ROMEO
1,1215,Genève 15 Aéroport,3003,ALFA ROMEO
8,1216,Cointrin,3003,ALFA ROMEO
96,1217,Meyrin,3003,ALFA ROMEO
45,1218,Le Grand-Saconnex,3003,ALFA ROMEO
9,1219,Aïre,3003,ALFA ROMEO
45,1219,Châtelaine,3003,ALFA ROMEO
28,1219,Le Lignon,3003,ALFA ROMEO
22,1220,Les Avanchets,3003,ALFA ROMEO
24,1222,Vésenaz,3003,ALFA ROMEO
27,1223,Cologny,3003,ALFA ROMEO
34,1224,Chêne-Bougeries,3003,ALFA ROMEO
32,1225,Chêne-Bourg,3003,ALFA ROMEO
42,1226,Thônex,3003,ALFA ROMEO
99,1227,Carouge GE,3003,ALFA ROMEO
24,1227,Les Acacias,3003,ALFA ROMEO
35,1228,Plan-les-Ouates,3003,ALFA ROMEO
14,1231,Conches,3003,ALFA ROMEO
24,1232,Confignon,3003,ALFA ROMEO
42,1233,Bernex,3003,ALFA ROMEO
20,1234,Vessy,3003,ALFA ROMEO
9,1236,Cartigny,3003,ALFA ROMEO
10,1237,Avully,3003,ALFA ROMEO
5,1239,Collex,3003,ALFA ROMEO
1,1240,Genève,3003,ALFA ROMEO
15,1241,Puplinge,3003,ALFA ROMEO
28,1242,Satigny,3003,ALFA ROMEO
3,1243,Presinge,3003,ALFA ROMEO
2,1244,Choulex,3003,ALFA ROMEO
11,1245,Collonge-Bellerive,3003,ALFA ROMEO
7,1246,Corsier GE,3003,ALFA ROMEO
10,1247,Anières,3003,ALFA ROMEO
7,1248,Hermance,3003,ALFA ROMEO
1,1251,Gy,3003,ALFA ROMEO
8,1252,Meinier,3003,ALFA ROMEO
5,1253,Vandoeuvres,3003,ALFA ROMEO
4,1254,Jussy,3003,ALFA ROMEO
18,1255,Veyrier,3003,ALFA ROMEO
15,1256,Troinex,3003,ALFA ROMEO
5,1257,La Croix-de-Rozon,3003,ALFA ROMEO
18,1258,Perly,3003,ALFA ROMEO
7,1281,Russin,3003,ALFA ROMEO
7,1283,Dardagny,3003,ALFA ROMEO
9,1283,La Plaine,3003,ALFA ROMEO
8,1284,Chancy,3003,ALFA ROMEO
