LIBELLEMARQUE,nb,codes
VW,27807,"4017, 5656, 6244"
MERCEDES-BENZ,15833,"3830, 4043, 5708, 6920"
AUDI,15722,"4009, 7909"
BMW,13220,"4012, 5712, 6248"
TOYOTA,11176,"2114, 3857, 5100, 5688, 6318, 7107, 3906, 6039"
OPEL,10030,"2124, 4050, 5700, 5089, 7141, 6924"
PEUGEOT,9935,"2076, 3335, 9690, 3941"
CITROEN,8985,"2026, 6022, 5162"
RENAULT,7983,"2082, 5665, 8384, 3096, 6912"
HONDA,7827,"3005, 3861, 3888, 5024, 5657, 7101, 6925"
NISSAN,7772,"2130, 3616, 5063, 6919, 7113, 5687"
FIAT,6521,"2202, 3019, 5727, 7912, 4412, 5119, 3833"
MINI,5877,"4453, 5235, 6255"
FORD,5791,"3618, 3834, 4023, 5034, 5514, 6026, 6915, 2045, 3314, 6515, 4731, 7124, 6102"
HYUNDAI,4961,"3612, 3805, 3864, 6320, 6324"
MAZDA,4688,"7110, 5704, 6040"
VOLVO,4446,"2126, 4319, 6404, 6532, 6009, 3848"
SEAT,3716,6903
SKODA,3647,6306
PORSCHE,3077,4124
LAND ROVER,3054,5001
SUZUKI,2870,"3606, 3839, 4778, 7102, 7907, 6900"
DACIA,2558,"2274, 3500"
SUBARU,2349,"7116, 7908, 5703"
SMART,2318,4465
ALFA ROMEO,1921,3003
MITSUBISHI,1578,"3914, 6533, 7118, 3821, 5691"
KIA,1379,"3810, 6319, 6323"
JEEP,1265,"5608, 8251"
CHEVROLET,1167,"3883, 5651"
LEXUS,1050,"6041, 7139"
JAGUAR,1038,5046
CHRYSLER,663,"5652, 2201, 5261"
LANCIA,598,3029
DAIHATSU,531,"6044, 7119, 3297"
MICRO COMPACT CAR,443,"4439, 2859"
TESLA,379,"5178, 5734"
SAAB,366,6408
FERRARI,301,3068
BENTLEY,243,5013
DODGE,242,"5508, 5108, 9414"
MASERATI,226,3031
INFINITI,220,7144
DAEWOO,172,"3806, 3504"
ASTON MARTIN,163,5127
QUATTRO,137,4329
MERCEDES-AMG,125,4470
ROVER,125,5079
MG,120,"5057, 9425"
CADILLAC,106,"5575, 6449"
Lancia,83,5729
ROLLS ROYCE,81,5078
SSANGYONG,74,3828
TRIUMPH,61,5090
LOTUS,54,5156
MERCEDES-BENZ-WEINSBERG,45,4402
DS,44,2269
MORGAN,42,"5059, 2073"
WILLYS,37,"5539, 9908"
LAMBORGHINI,36,3110
FORD-CNG-TECHNIK,33,4489
MC LAREN,33,5113
DAIMLER,30,5005
AUSTIN,29,5009
KAISER,24,"5526, 3342, 3700"
PONTIAC,24,5655
BUICK,19,5527
HUMMER,15,5719
ALPINA,14,4326
MORRIS,14,5060
LINCOLN,12,"5597, 8465"
PININFARINA,12,3256
PLYMOUTH,12,5654
PUCH,12,6205
ALPINE,10,2152
MERCEDES-ADRIA,9,4471
VOLK,8,4071
AUDI-PORSCHE,7,4311
AUTOBIANCHI,7,3093
BUGATTI,7,"3294, 2022"
CATERHAM,6,5265
MAYBACH,6,4042
OLDSMOBILE,6,5653
PANHARD,6,2075
APAL,5,"6032, 2655"
DKW,5,4021
GMC,5,5518
LADA,5,7007
SIMCA,5,2095
TVR,5,5179
AMC,4,5607
DATSUN,4,7109
DE TOMASO,4,3159
IVECO,4,3264
STUDEBAKER,4,5535
ALVIS,3,5004
AMPHICAR,3,4246
BERTONE,3,3254
GRIFFON,3,2078
INNOCENTI,3,3105
KTM,3,6214
LTI,3,5114
PGO,3,"2191, 3825"
AC,2,5104
ACURA INTEGRA,2,7140
BINZ,2,4436
BMW/ALPINA,2,4131
DONKERVOORT,2,6522
EXCALIBUR,2,5644
FISKER,2,5731
HOTCHKISS,2,2050
INNOCENTI-MINI,2,3060
ISUZU,2,"5071, 7105"
MERCEDES-BENZ-T,2,4116
NSU,2,4045
PAGANI,2,3329
PICCARD-PICTET,2,2845
SUNBEAM,2,5088
TALBOT,2,2102
TH!NK,2,6702
AC-COBRA,1,5087
ADLER,1,4001
AERO,1,2500
AMILCAR,1,2005
APAL-SPEEDSTER,1,6000
APOLLO,1,6500
ARTEGA,1,4497
AUBURN,1,5501
AUDI-NSU,1,4165
AUTO UNION,1,4486
AYATS,1,6926
BERLIET,1,2015
BITTER,1,4376
BORGWARD,1,4082
BRISTOL,1,5017
CITROEN-GRUAU,1,2261
COBRA,1,2643
DE LA CHAPELLE,1,2057
EDSEL,1,5566
FACEL-VEGA,1,2144
FIAT-ABARTH,1,3094
FIAT-FSM,1,7510
FIAT-SEAT,1,6909
FIAT-UNIC,1,2215
GEO,1,5695
HISPANO-SUIZA,1,2049
HS,1,2827
HUDSON,1,5522
HUMBER,1,5045
ISO,1,3108
JENSEN,1,5184
KEMNA,1,4000
LE ZEBRE,1,2020
LIGIER,1,2080
MATRA,1,2162
MATRA-SIMCA,1,2221
MAURON-BUGGY,1,2677
MVS,1,2043
NASH,1,5530
PACKARD,1,5532
PANTHER,1,5069
PEUGEOT-ALKO,1,2016
PHOENIX,1,4048
RADICAL SPORTSCARS,1,5274
RAM,1,5094
RELIANT,1,5138
RENAULT-KNAUS,1,2188
RENAULT-SPORT,1,2106
SANTANA,1,6923
SECMA,1,2123
STEYR-PUCH,1,6225
STIMBO,1,2781
SUNCAR,1,2235
SWISS-BUGGY,1,2653
TORPEDO,1,4209
VAUXHALL,1,4397
VOLGA (WOLGA),1,7004
VOLVO-T,1,6409
WIESMANN,1,4452
