Numéro OFS,plz,Localité,Genre Vhc,Marque,marque_cleaned,Total
5621.0,1123.0,Aclens,Motocycle,Aprilia,,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,Audi,Audi,31.0
5621.0,1123.0,Aclens,Chariot à moteur,Ausa,,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,BMW,BMW,33.0
5621.0,1123.0,Aclens,Motocycle,BMW,,3.0
5621.0,1123.0,Aclens,Tracteur agricole,Carraro,,1.0
5621.0,1123.0,Aclens,Tracteur agricole,Carraro A,,1.0
5621.0,1123.0,Aclens,Chariot de travail,Caterpillar,,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,Chevrolet,Chevrolet,3.0
5621.0,1123.0,Aclens,Voiture de tourisme,Chrysler,Chrysler,1.0
5621.0,1123.0,Aclens,Voiture de livraison,Citroen,,3.0
5621.0,1123.0,Aclens,Voiture de tourisme,Citroen,Citroen,26.0
5621.0,1123.0,Aclens,Chariot de travail agricole,Claas,,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,Dacia,Dacia,11.0
5621.0,1123.0,Aclens,Voiture de tourisme,Daihatsu,Daihatsu,1.0
5621.0,1123.0,Aclens,Tracteur agricole,David-Brown,,1.0
5621.0,1123.0,Aclens,Voiture de livraison,Dodge,,2.0
5621.0,1123.0,Aclens,Motocycle,Ducati,,4.0
5621.0,1123.0,Aclens,Voiture de tourisme,Ferrari,Ferrari,1.0
5621.0,1123.0,Aclens,Voiture de livraison,Fiat,,9.0
5621.0,1123.0,Aclens,Tracteur agricole,Fiat,,1.0
5621.0,1123.0,Aclens,Voiture automobile légère,Fiat,,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,Fiat,Fiat,25.0
5621.0,1123.0,Aclens,Minibus,Ford,,1.0
5621.0,1123.0,Aclens,Voiture de livraison,Ford,,11.0
5621.0,1123.0,Aclens,Tracteur agricole,Ford,,3.0
5621.0,1123.0,Aclens,Voiture automobile légère,Ford,,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,Ford,Ford,25.0
5621.0,1123.0,Aclens,Tracteur agricole,Fordson,,1.0
5621.0,1123.0,Aclens,Motocycle,Harley-Davidson,,6.0
5621.0,1123.0,Aclens,Chariot de travail,Herkules,,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,Honda,Honda,17.0
5621.0,1123.0,Aclens,Motocycle,Honda,,12.0
5621.0,1123.0,Aclens,Chariot de travail,Hyundai,,2.0
5621.0,1123.0,Aclens,Voiture de livraison,Hyundai,,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,Hyundai,Hyundai,15.0
5621.0,1123.0,Aclens,Voiture de tourisme,Infiniti,Infiniti,2.0
5621.0,1123.0,Aclens,Tracteur agricole,International,,2.0
5621.0,1123.0,Aclens,Voiture de livraison,Isuzu,,1.0
5621.0,1123.0,Aclens,Voiture de livraison,IVECO,,11.0
5621.0,1123.0,Aclens,Camion,IVECO,,14.0
5621.0,1123.0,Aclens,Machine de travail,IVECO,,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,Jaguar,Jaguar,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,Jeep,Jeep,4.0
5621.0,1123.0,Aclens,Tracteur agricole,John-Deere,,3.0
5621.0,1123.0,Aclens,Chariot à moteur,John-Deere,,2.0
5621.0,1123.0,Aclens,Chariot de travail,Kärcher,,1.0
5621.0,1123.0,Aclens,Motocycle,KAWASAKI,,5.0
5621.0,1123.0,Aclens,Voiture de tourisme,KIA,KIA,2.0
5621.0,1123.0,Aclens,Motocycle,Kreidler,,1.0
5621.0,1123.0,Aclens,Motocycle,KTM,,2.0
5621.0,1123.0,Aclens,Motocycle léger,Kymco,,1.0
5621.0,1123.0,Aclens,Motocycle,Kymco,,2.0
5621.0,1123.0,Aclens,Tracteur agricole,Landini,,2.0
5621.0,1123.0,Aclens,Voiture de tourisme,Land-Rover,Land-Rover,1.0
5621.0,1123.0,Aclens,Chariot de travail,Liebherr,,3.0
5621.0,1123.0,Aclens,Chariot de travail,Linde,,1.0
5621.0,1123.0,Aclens,Camion,MAN,,9.0
5621.0,1123.0,Aclens,Machine de travail,MAN,,1.0
5621.0,1123.0,Aclens,Tracteur à sellette,MAN,,2.0
5621.0,1123.0,Aclens,Voiture de tourisme,Maserati,Maserati,2.0
5621.0,1123.0,Aclens,Voiture de tourisme,Mazda,Mazda,15.0
5621.0,1123.0,Aclens,Chariot à moteur,MBA,,14.0
5621.0,1123.0,Aclens,Motocycle,MBK,,1.0
5621.0,1123.0,Aclens,Tracteur agricole,Mc Cormick,,1.0
5621.0,1123.0,Aclens,Machine de travail,Mecalac,,1.0
5621.0,1123.0,Aclens,Chariot de travail,Menzi Muck,,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,Mercedes,Mercedes-Benz,1.0
5621.0,1123.0,Aclens,Voiture de livraison,Mercedes-Benz,,62.0
5621.0,1123.0,Aclens,Camion,Mercedes-Benz,,16.0
5621.0,1123.0,Aclens,Machine de travail,Mercedes-Benz,,1.0
5621.0,1123.0,Aclens,Voiture automobile légère,Mercedes-Benz,,2.0
5621.0,1123.0,Aclens,Voiture de tourisme,Mercedes-Benz,Mercedes-Benz,42.0
5621.0,1123.0,Aclens,Tracteur à sellette,Mercedes-Benz,,3.0
5621.0,1123.0,Aclens,Voiture de tourisme,Mini,Mini,11.0
5621.0,1123.0,Aclens,Voiture de livraison,Mitsubishi,,6.0
5621.0,1123.0,Aclens,Voiture de tourisme,Mitsubishi,Mitsubishi,4.0
5621.0,1123.0,Aclens,Motocycle,Moto-Guzzi,,1.0
5621.0,1123.0,Aclens,Chariot de travail,New,,1.0
5621.0,1123.0,Aclens,Machine de travail,NEW,,1.0
5621.0,1123.0,Aclens,Chariot à moteur agricole,New Holland,,1.0
5621.0,1123.0,Aclens,Tracteur agricole,New Holland,,4.0
5621.0,1123.0,Aclens,Machine de travail,New Holland,,1.0
5621.0,1123.0,Aclens,Voiture de livraison,Nissan,,10.0
5621.0,1123.0,Aclens,Voiture de tourisme,Nissan,Nissan,9.0
5621.0,1123.0,Aclens,Voiture de livraison,Opel,,18.0
5621.0,1123.0,Aclens,Voiture de tourisme,Opel,Opel,42.0
5621.0,1123.0,Aclens,Voiture de livraison,Peugeot,,10.0
5621.0,1123.0,Aclens,Voiture de tourisme,Peugeot,Peugeot,15.0
5621.0,1123.0,Aclens,Motocycle léger,Peugeot,,1.0
5621.0,1123.0,Aclens,Motocycle,Peugeot,,1.0
5621.0,1123.0,Aclens,Motocycle,Piaggio,,6.0
5621.0,1123.0,Aclens,Chariot à moteur,Polaris,,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,Porsche,Porsche,7.0
5621.0,1123.0,Aclens,Chariot à moteur,Raco,,3.0
5621.0,1123.0,Aclens,Voiture de livraison,Renault,,7.0
5621.0,1123.0,Aclens,Tracteur agricole,Renault,,6.0
5621.0,1123.0,Aclens,Camion,Renault,,2.0
5621.0,1123.0,Aclens,Machine de travail,Renault,,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,Renault,Renault,31.0
5621.0,1123.0,Aclens,Chariot de travail,Rolba,,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,Saab,Saab,1.0
5621.0,1123.0,Aclens,Tracteur agricole,Same,,1.0
5621.0,1123.0,Aclens,Machine de travail,Saurer,,1.0
5621.0,1123.0,Aclens,Camion,Scania,,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,Seat,Seat,12.0
5621.0,1123.0,Aclens,Voiture de tourisme,Skoda,Skoda,15.0
5621.0,1123.0,Aclens,Voiture de tourisme,Smart,Smart,4.0
5621.0,1123.0,Aclens,Chariot à moteur,Stiga,,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,Subaru,Subaru,9.0
5621.0,1123.0,Aclens,Voiture de tourisme,Sunbeam,Sunbeam,1.0
5621.0,1123.0,Aclens,Voiture de tourisme,Suzuki,Suzuki,4.0
5621.0,1123.0,Aclens,Motocycle,Suzuki,,3.0
5621.0,1123.0,Aclens,Motocycle,Sym,,3.0
5621.0,1123.0,Aclens,Chariot de travail,Takeuchi,,2.0
5621.0,1123.0,Aclens,Voiture de tourisme,Tesla,Tesla,2.0
5621.0,1123.0,Aclens,Chariot de travail,Toyota,,1.0
5621.0,1123.0,Aclens,Voiture de livraison,Toyota,,8.0
5621.0,1123.0,Aclens,Voiture de tourisme,Toyota,Toyota,28.0
